[2025-07-15 22:57:09] [INFO    ] discord.client: logging in using static token
[2025-07-15 22:57:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-07-15 22:57:09] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-07-15 22:57:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1393270862873890906', 'username': 'Anivex', 'avatar': 'c2d6235d643e858b5871484636e20285', 'discriminator': '4860', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-07-15 22:57:10] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-07-15 22:57:10] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-07-15 22:57:10] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1393270862873890906', 'name': 'Anivex', 'icon': 'c2d6235d643e858b5871484636e20285', 'description': '', 'type': None, 'bot': {'id': '1393270862873890906', 'username': 'Anivex', 'avatar': 'c2d6235d643e858b5871484636e20285', 'discriminator': '4860', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': True, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'f397b93a115b964a3c33ee4b7062d50c0a0beab7804706659ce3fbd81e5de38e', 'flags': 8953856, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1147843597153075251', 'username': 'adyan.2010', 'avatar': 'b525f66eda20eb0fe662b082c0ee7d46', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': 8638858, 'global_name': '!                          Adyan', 'avatar_decoration_data': {'asset': 'a_d65bc28befbf0923324d5e4b72339ea7', 'sku_id': '1336506386296864845', 'expires_at': None}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#83d18a', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': True, 'discoverability_state': 1, 'discovery_eligibility_flags': 2528, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-07-15 22:57:10] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-07-15 22:57:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-b-4mqf",{"micros":0.0}]']}}
[2025-07-15 22:57:10] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-07-15 22:57:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-15 22:57:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Anivex', 'primary_guild': None, 'mfa_enabled': True, 'id': '1393270862873890906', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '4860', 'clan': None, 'bot': True, 'avatar': 'c2d6235d643e858b5871484636e20285'}, 'session_type': 'normal', 'session_id': '85f5711b0c19c2dff94bc29e36baebac', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1067120401076981881'}, {'unavailable': True, 'id': '1363533567791075488'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'hongkong', 'singapore', 'dubai', 'japan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1393270862873890906', 'flags': 8953856}, '_trace': ['["gateway-prd-us-east1-b-4mqf",{"micros":80376,"calls":["id_created",{"micros":560,"calls":[]},"session_lookup_time",{"micros":281,"calls":[]},"session_lookup_finished",{"micros":13,"calls":[]},"discord-sessions-prd-2-55",{"micros":79191,"calls":["start_session",{"micros":64974,"calls":["discord-api-rpc-764b788ccf-5k97c",{"micros":49448,"calls":["get_user",{"micros":7053},"get_guilds",{"micros":5275},"send_scheduled_deletion_message",{"micros":16},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":20},"pending_payments",{"micros":6500},"apex_experiments",{"micros":966},"user_activities",{"micros":4},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":27,"calls":[]},"presence_started",{"micros":2407,"calls":[]},"guilds_started",{"micros":97,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":11663,"calls":[]},"connect_finished",{"micros":11667,"calls":[]},"build_ready",{"micros":15,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-07-15 22:57:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-15 22:57:11] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 85f5711b0c19c2dff94bc29e36baebac).
[2025-07-15 22:57:11] [DEBUG   ] discord.client: Dispatching event connect
